date,region,state,cases,deaths
4/17/2020,Centro-Oeste,Goiás,335,16
4/17/2020,Centro-Oeste,Mato Grosso,162,5
4/17/2020,Centro-Oeste,Mato Grosso do Sul,143,5
4/17/2020,Nordeste,Alagoas,110,7
4/17/2020,Nordeste,Bahia,1059,36
4/17/2020,Nordeste,Ceará,2684,149
4/17/2020,Nordeste,Maranhão,797,40
4/17/2020,Nordeste,Paraíba,195,26
4/17/2020,Nordeste,Pernambuco,2006,186
4/17/2020,Nordeste,Piauí,102,8
4/17/2020,Nordeste,Rio Grande do Norte,463,23
4/17/2020,Nordeste,Sergipe,53,4
4/17/2020,Norte,Acre,135,5
4/17/2020,Norte,Amapá,370,10
4/17/2020,Norte,Amazonas,1809,145
4/17/2020,Norte,Pará,557,26
4/17/2020,Norte,Rondônia,92,3
4/17/2020,Norte,Roraima,164,3
4/17/2020,Norte,Tocantins,31,1
4/17/2020,Sudeste,Espírito Santo,856,25
4/17/2020,Sudeste,Minas Gerais,1021,35
4/17/2020,Sudeste,Rio de Janeiro,4349,341
4/17/2020,Sudeste,São Paulo,12841,928
4/17/2020,Sul,Paraná,874,42
4/17/2020,Sul,Rio Grande do Sul,802,22
4/17/2020,Sul,Santa Catarina,926,30
4/18/2020,Centro-Oeste,Distrito Federal,762,24
4/18/2020,Centro-Oeste,Goiás,378,18
4/18/2020,Centro-Oeste,Mato Grosso,171,5
4/18/2020,Centro-Oeste,Mato Grosso do Sul,161,5
4/18/2020,Nordeste,Alagoas,132,7
4/18/2020,Nordeste,Bahia,1193,37
4/18/2020,Nordeste,Ceará,3034,176
4/18/2020,Nordeste,Maranhão,1040,44
4/18/2020,Nordeste,Paraíba,205,26
4/18/2020,Nordeste,Pernambuco,2193,205
4/18/2020,Nordeste,Piauí,123,9
4/18/2020,Nordeste,Rio Grande do Norte,516,24
4/18/2020,Nordeste,Sergipe,71,5
4/18/2020,Norte,Acre,142,5
4/18/2020,Norte,Amapá,393,10
4/18/2020,Norte,Amazonas,1897,161
4/18/2020,Norte,Pará,640,33
4/18/2020,Norte,Rondônia,110,3
4/18/2020,Norte,Roraima,201,3
4/18/2020,Norte,Tocantins,33,1
